time,open,high,low,close,tick_volume,spread,real_volume
2025-02-20 00:00:00+00:00,2719.34,2723.12,2713.57,2720.74,4031,350,0
2025-02-20 00:15:00+00:00,2720.74,2726.28,2720.32,2721.98,3560,350,0
2025-02-20 00:30:00+00:00,2721.99,2727.8,2719.69,2722.37,3514,350,0
2025-02-20 00:45:00+00:00,2722.37,2722.54,2700.23,2701.97,3772,350,0
2025-02-20 01:00:00+00:00,2701.97,2714.74,2700.99,2712.3,3909,350,0
2025-02-20 01:15:00+00:00,2712.15,2714.93,2706.26,2712.71,5377,350,0
2025-02-20 01:30:00+00:00,2712.71,2712.95,2708.03,2710.1,3805,350,0
2025-02-20 01:45:00+00:00,2710.0,2729.27,2710.0,2719.71,2902,350,0
2025-02-20 02:00:00+00:00,2719.44,2733.15,2714.95,2717.01,5090,350,0
2025-02-20 02:15:00+00:00,2717.18,2725.53,2716.94,2722.03,4802,350,0
2025-02-20 02:30:00+00:00,2722.03,2723.2,2713.38,2717.33,4603,350,0
2025-02-20 02:45:00+00:00,2717.07,2717.77,2710.73,2714.13,3987,350,0
2025-02-20 03:00:00+00:00,2714.09,2717.13,2710.22,2710.54,5117,350,0
2025-02-20 03:15:00+00:00,2710.57,2718.71,2708.41,2716.57,5316,350,0
2025-02-20 03:30:00+00:00,2716.45,2723.82,2710.82,2723.14,5177,350,0
2025-02-20 03:45:00+00:00,2723.33,2731.92,2717.89,2727.27,5498,350,0
2025-02-20 04:00:00+00:00,2727.35,2731.83,2720.18,2720.97,5288,350,0
2025-02-20 04:15:00+00:00,2720.93,2724.74,2716.16,2716.76,4473,350,0
2025-02-20 04:30:00+00:00,2716.78,2718.3,2712.07,2714.83,4666,350,0
2025-02-20 04:45:00+00:00,2715.03,2718.31,2710.87,2718.13,4896,350,0
2025-02-20 05:00:00+00:00,2717.91,2728.37,2717.68,2727.75,4892,350,0
2025-02-20 05:15:00+00:00,2727.65,2731.28,2723.86,2726.3,4700,350,0
2025-02-20 05:30:00+00:00,2726.0,2732.25,2721.23,2728.28,4779,350,0
2025-02-20 05:45:00+00:00,2728.22,2750.62,2727.76,2739.38,5882,350,0
2025-02-20 06:00:00+00:00,2739.83,2746.88,2734.99,2736.56,5583,350,0
2025-02-20 06:15:00+00:00,2736.5,2739.98,2730.71,2737.28,4941,350,0
2025-02-20 06:30:00+00:00,2736.65,2745.59,2736.65,2742.35,4484,350,0
2025-02-20 06:45:00+00:00,2741.98,2746.09,2738.99,2739.5,4339,350,0
2025-02-20 07:00:00+00:00,2739.5,2744.57,2737.11,2743.34,4251,350,0
2025-02-20 07:15:00+00:00,2743.83,2757.5,2743.39,2751.21,4702,350,0
2025-02-20 07:30:00+00:00,2750.78,2751.12,2741.95,2742.95,4924,350,0
2025-02-20 07:45:00+00:00,2742.97,2744.28,2734.5,2737.42,4557,350,0
2025-02-20 08:00:00+00:00,2737.4,2741.2,2733.78,2734.25,3637,350,0
2025-02-20 08:15:00+00:00,2734.44,2741.02,2732.58,2735.23,4431,350,0
2025-02-20 08:30:00+00:00,2735.34,2738.66,2733.26,2734.96,3716,350,0
2025-02-20 08:45:00+00:00,2735.04,2735.92,2727.11,2730.83,4464,350,0
2025-02-20 09:00:00+00:00,2730.74,2735.69,2723.98,2727.74,4759,350,0
2025-02-20 09:15:00+00:00,2727.67,2730.09,2722.18,2727.82,2641,350,0
2025-02-20 09:30:00+00:00,2728.06,2730.85,2723.94,2727.08,1724,350,0
2025-02-20 09:45:00+00:00,2727.29,2729.71,2723.24,2728.82,1847,350,0
2025-02-20 10:00:00+00:00,2728.82,2732.63,2721.16,2723.84,2247,350,0
2025-02-20 10:15:00+00:00,2723.84,2726.97,2721.49,2726.43,1830,350,0
2025-02-20 10:30:00+00:00,2726.42,2736.47,2726.42,2731.81,2726,350,0
2025-02-20 10:45:00+00:00,2731.98,2733.71,2728.18,2729.31,2512,350,0
2025-02-20 11:00:00+00:00,2729.31,2734.55,2728.67,2732.84,3832,350,0
2025-02-20 11:15:00+00:00,2732.84,2733.8,2725.79,2731.93,2020,350,0
2025-02-20 11:30:00+00:00,2731.84,2733.8,2725.55,2730.57,2035,350,0
2025-02-20 11:45:00+00:00,2730.57,2735.13,2727.78,2731.84,1894,350,0
2025-02-20 12:00:00+00:00,2732.17,2733.48,2727.68,2730.35,2336,350,0
2025-02-20 12:15:00+00:00,2730.31,2730.47,2725.17,2728.05,2542,350,0
2025-02-20 12:30:00+00:00,2727.99,2730.92,2724.27,2727.15,2301,350,0
2025-02-20 12:45:00+00:00,2727.13,2727.18,2723.3,2724.45,1846,350,0
2025-02-20 13:00:00+00:00,2724.43,2731.91,2723.57,2728.2,2150,350,0
2025-02-20 13:15:00+00:00,2728.2,2737.57,2728.06,2737.01,2437,350,0
2025-02-20 13:30:00+00:00,2736.96,2743.35,2735.39,2741.58,2850,350,0
2025-02-20 13:45:00+00:00,2741.59,2745.61,2737.62,2743.95,2762,350,0
2025-02-20 14:00:00+00:00,2744.35,2746.15,2737.66,2737.67,2271,350,0
2025-02-20 14:15:00+00:00,2737.67,2741.27,2736.11,2739.91,2273,350,0
2025-02-20 14:30:00+00:00,2739.88,2741.11,2734.39,2737.8,2252,350,0
2025-02-20 14:45:00+00:00,2737.78,2741.75,2736.05,2739.35,2417,350,0
2025-02-20 15:00:00+00:00,2739.44,2745.33,2738.88,2741.43,3181,350,0
2025-02-20 15:15:00+00:00,2741.47,2744.68,2737.75,2739.95,2767,350,0
2025-02-20 15:30:00+00:00,2739.95,2746.55,2736.68,2741.91,2115,350,0
2025-02-20 15:45:00+00:00,2741.92,2743.38,2737.72,2741.25,1716,350,0
2025-02-20 16:00:00+00:00,2741.2,2742.27,2735.65,2737.44,2401,350,0
2025-02-20 16:15:00+00:00,2737.44,2739.63,2732.69,2738.49,2634,350,0
2025-02-20 16:30:00+00:00,2738.31,2753.15,2733.98,2739.3,3794,350,0
2025-02-20 16:45:00+00:00,2739.3,2745.85,2738.82,2745.24,3165,350,0
2025-02-20 17:00:00+00:00,2745.26,2763.57,2744.9,2759.25,4477,350,0
2025-02-20 17:15:00+00:00,2759.41,2769.98,2755.54,2760.9,5330,350,0
2025-02-20 17:30:00+00:00,2760.77,2768.44,2751.54,2751.58,5358,350,0
2025-02-20 17:45:00+00:00,2750.68,2751.31,2724.24,2727.78,6092,350,0
2025-02-20 18:00:00+00:00,2727.57,2737.31,2717.57,2724.15,5467,350,0
2025-02-20 18:15:00+00:00,2724.06,2732.61,2720.61,2729.19,4566,350,0
2025-02-20 18:30:00+00:00,2729.19,2734.43,2722.09,2727.4,4974,350,0
2025-02-20 18:45:00+00:00,2727.34,2727.34,2706.6,2711.32,5031,350,0
2025-02-20 19:00:00+00:00,2711.25,2729.72,2705.2,2721.42,4761,350,0
2025-02-20 19:15:00+00:00,2721.25,2726.54,2716.48,2724.2,4645,350,0
2025-02-20 19:30:00+00:00,2724.13,2726.51,2711.34,2722.98,4050,350,0
2025-02-20 19:45:00+00:00,2722.97,2724.18,2710.06,2711.79,3885,350,0
2025-02-20 20:00:00+00:00,2711.66,2723.87,2710.39,2722.25,3631,350,0
2025-02-20 20:15:00+00:00,2722.16,2728.8,2721.94,2727.33,3494,350,0
2025-02-20 20:30:00+00:00,2727.46,2736.73,2725.24,2731.96,4550,350,0
2025-02-20 20:45:00+00:00,2731.85,2734.85,2729.48,2733.8,4333,350,0
2025-02-20 21:00:00+00:00,2734.1,2749.58,2730.1,2748.14,4381,350,0
2025-02-20 21:15:00+00:00,2748.33,2750.2,2739.42,2741.82,4446,350,0
2025-02-20 21:30:00+00:00,2741.82,2745.65,2735.65,2738.96,4121,350,0
2025-02-20 21:45:00+00:00,2739.16,2741.42,2731.73,2737.06,3990,350,0
2025-02-20 22:00:00+00:00,2737.11,2741.54,2735.52,2740.69,4303,350,0
2025-02-20 22:15:00+00:00,2740.7,2767.81,2740.7,2764.05,4125,350,0
2025-02-20 22:30:00+00:00,2764.12,2765.31,2745.25,2751.82,4080,350,0
2025-02-20 22:45:00+00:00,2751.54,2755.22,2745.67,2747.61,3011,350,0
2025-02-20 23:00:00+00:00,2747.61,2755.16,2745.91,2752.29,3941,350,0
2025-02-20 23:15:00+00:00,2752.29,2761.12,2749.41,2752.32,3924,350,0
2025-02-20 23:30:00+00:00,2752.29,2755.1,2745.97,2751.55,3381,350,0
2025-02-20 23:45:00+00:00,2751.67,2753.25,2745.32,2749.78,3346,350,0
2025-02-21 00:00:00+00:00,2749.78,2752.33,2738.58,2741.43,2491,350,0
2025-02-21 00:15:00+00:00,2741.43,2744.13,2736.24,2737.7,1858,350,0
2025-02-21 00:30:00+00:00,2737.7,2740.98,2725.04,2726.3,3244,350,0
2025-02-21 00:45:00+00:00,2726.39,2727.9,2718.38,2718.38,3811,350,0
2025-02-21 01:00:00+00:00,2718.38,2729.89,2717.24,2729.8,2389,350,0
2025-02-21 01:15:00+00:00,2729.84,2730.38,2726.28,2728.19,2391,350,0
2025-02-21 01:30:00+00:00,2728.19,2737.09,2727.87,2732.65,2649,350,0
2025-02-21 01:45:00+00:00,2732.87,2733.15,2726.36,2727.34,2175,350,0
2025-02-21 02:00:00+00:00,2727.46,2733.98,2726.48,2730.12,5130,350,0
2025-02-21 02:15:00+00:00,2730.09,2740.36,2729.96,2739.04,4412,350,0
2025-02-21 02:30:00+00:00,2739.04,2746.54,2737.84,2742.57,4392,350,0
2025-02-21 02:45:00+00:00,2742.78,2743.43,2737.2,2737.44,3944,350,0
2025-02-21 03:00:00+00:00,2737.39,2745.69,2737.35,2743.37,5114,350,0
2025-02-21 03:15:00+00:00,2743.29,2744.45,2736.27,2738.57,4821,350,0
2025-02-21 03:30:00+00:00,2738.57,2743.14,2732.55,2733.58,5056,350,0
2025-02-21 03:45:00+00:00,2733.52,2736.29,2729.18,2734.74,4934,350,0
2025-02-21 04:00:00+00:00,2734.86,2735.97,2727.05,2729.2,4876,350,0
2025-02-21 04:15:00+00:00,2728.72,2732.98,2724.93,2732.26,4582,350,0
2025-02-21 04:30:00+00:00,2732.54,2742.39,2730.9,2738.96,5075,350,0
2025-02-21 04:45:00+00:00,2738.94,2744.93,2738.15,2740.33,4675,350,0
2025-02-21 05:00:00+00:00,2740.47,2744.09,2736.88,2742.31,4635,350,0
2025-02-21 05:15:00+00:00,2742.27,2745.6,2738.32,2739.1,4550,350,0
2025-02-21 05:30:00+00:00,2739.09,2740.67,2732.74,2736.83,4363,350,0
2025-02-21 05:45:00+00:00,2736.75,2739.48,2733.9,2736.47,4594,350,0
2025-02-21 06:00:00+00:00,2736.73,2741.67,2733.79,2738.83,4475,350,0
2025-02-21 06:15:00+00:00,2739.1,2749.08,2737.39,2746.95,4325,350,0
2025-02-21 06:30:00+00:00,2747.18,2747.88,2740.32,2743.35,4018,350,0
2025-02-21 06:45:00+00:00,2743.44,2745.23,2738.56,2743.86,3858,350,0
2025-02-21 07:00:00+00:00,2743.95,2750.56,2743.13,2747.58,4254,350,0
2025-02-21 07:15:00+00:00,2747.45,2750.45,2743.6,2745.91,3913,350,0
2025-02-21 07:30:00+00:00,2745.85,2753.31,2743.73,2753.15,4090,350,0
2025-02-21 07:45:00+00:00,2753.14,2754.05,2747.47,2750.72,4243,350,0
2025-02-21 08:00:00+00:00,2750.71,2751.59,2745.34,2749.98,4539,350,0
2025-02-21 08:15:00+00:00,2750.19,2751.4,2745.94,2748.63,4435,350,0
