time,open,high,low,close,tick_volume,spread,real_volume
2025-02-20 00:00:00+00:00,1.04243,1.04247,1.0423,1.04244,172,4,0
2025-02-20 00:15:00+00:00,1.04244,1.04262,1.04242,1.04251,124,4,0
2025-02-20 00:30:00+00:00,1.04251,1.0425200000000001,1.04212,1.04226,218,1,0
2025-02-20 00:45:00+00:00,1.04224,1.04242,1.04208,1.04213,162,4,0
2025-02-20 01:00:00+00:00,1.04157,1.04239,1.04143,1.04239,92,13,0
2025-02-20 01:15:00+00:00,1.04239,1.0425,1.04228,1.04238,96,21,0
2025-02-20 01:30:00+00:00,1.04242,1.04256,1.04226,1.04226,98,21,0
2025-02-20 01:45:00+00:00,1.04231,1.04256,1.04202,1.0424,146,14,0
2025-02-20 02:00:00+00:00,1.04249,1.0426,1.04227,1.04233,206,2,0
2025-02-20 02:15:00+00:00,1.04234,1.04256,1.04226,1.04233,179,2,0
2025-02-20 02:30:00+00:00,1.04233,1.04233,1.042,1.04212,200,2,0
2025-02-20 02:45:00+00:00,1.04213,1.04215,1.04197,1.04209,215,2,0
2025-02-20 03:00:00+00:00,1.04209,1.04243,1.04205,1.04232,305,2,0
2025-02-20 03:15:00+00:00,1.04232,1.04233,1.04195,1.04223,277,2,0
2025-02-20 03:30:00+00:00,1.04223,1.04273,1.04199,1.04262,437,2,0
2025-02-20 03:45:00+00:00,1.04263,1.04299,1.04255,1.0429,523,2,0
2025-02-20 04:00:00+00:00,1.04289,1.04328,1.04289,1.04317,581,2,0
2025-02-20 04:15:00+00:00,1.04317,1.0432,1.04258,1.04264,461,2,0
2025-02-20 04:30:00+00:00,1.04265,1.04266,1.04205,1.04224,559,2,0
2025-02-20 04:45:00+00:00,1.04224,1.04224,1.04184,1.04213,517,2,0
2025-02-20 05:00:00+00:00,1.04214,1.04294,1.04201,1.04284,486,2,0
2025-02-20 05:15:00+00:00,1.04287,1.04294,1.04244,1.04246,471,2,0
2025-02-20 05:30:00+00:00,1.04247,1.04332,1.04223,1.04324,892,2,0
2025-02-20 05:45:00+00:00,1.04323,1.04376,1.04284,1.04356,713,2,0
2025-02-20 06:00:00+00:00,1.04353,1.04361,1.0431300000000001,1.04315,501,2,0
2025-02-20 06:15:00+00:00,1.04314,1.04314,1.04266,1.04284,386,2,0
2025-02-20 06:30:00+00:00,1.04285,1.04337,1.04272,1.04332,418,2,0
2025-02-20 06:45:00+00:00,1.04331,1.04342,1.04306,1.04312,397,2,0
2025-02-20 07:00:00+00:00,1.0431300000000001,1.04315,1.04273,1.04274,337,2,0
2025-02-20 07:15:00+00:00,1.04275,1.04292,1.04263,1.04266,269,2,0
2025-02-20 07:30:00+00:00,1.04266,1.04282,1.04239,1.04272,354,2,0
2025-02-20 07:45:00+00:00,1.04269,1.0431,1.04263,1.04303,288,2,0
2025-02-20 08:00:00+00:00,1.04304,1.04335,1.04291,1.04323,400,2,0
2025-02-20 08:15:00+00:00,1.04323,1.04343,1.04306,1.04317,314,2,0
2025-02-20 08:30:00+00:00,1.04315,1.04315,1.04279,1.04283,382,2,0
2025-02-20 08:45:00+00:00,1.04282,1.0431,1.04267,1.04273,405,2,0
2025-02-20 09:00:00+00:00,1.04274,1.0432,1.04268,1.04304,423,2,0
2025-02-20 09:15:00+00:00,1.04304,1.04344,1.04299,1.04326,478,2,0
2025-02-20 09:30:00+00:00,1.04326,1.04332,1.04294,1.04295,435,2,0
2025-02-20 09:45:00+00:00,1.04295,1.04305,1.04244,1.04249,635,2,0
2025-02-20 10:00:00+00:00,1.04253,1.04298,1.04234,1.04272,801,2,0
2025-02-20 10:15:00+00:00,1.04268,1.04317,1.04268,1.04284,619,2,0
