time,open,high,low,close,volume
2025-02-20 00:00:00+00:00,168.94,170.28,167.66,169.99,110701.619
2025-02-20 01:00:00+00:00,169.99,170.63,167.95,168.24,92067.513
2025-02-20 02:00:00+00:00,168.25,172.47,168.25,171.89,137099.988
2025-02-20 03:00:00+00:00,171.89,172.89,170.78,172.44,127107.588
2025-02-20 04:00:00+00:00,172.43,174.96,172.37,173.04,141080.905
2025-02-20 05:00:00+00:00,173.03,173.34,172.17,172.38,91388.805
2025-02-20 06:00:00+00:00,172.38,172.68,171.27,171.77,105513.828
2025-02-20 07:00:00+00:00,171.78,172.2,170.86,171.77,68797.988
2025-02-20 08:00:00+00:00,171.77,172.64,170.92,172.28,76938.74
2025-02-20 09:00:00+00:00,172.28,172.63,171.71,172.06,71238.634
2025-02-20 10:00:00+00:00,172.06,174.07,171.99,173.8,173589.092
2025-02-20 11:00:00+00:00,173.79,175.15,173.38,173.99,189693.872
2025-02-20 12:00:00+00:00,173.99,174.89,173.14,173.4,119224.849
2025-02-20 13:00:00+00:00,173.4,174.17,172.52,174.14,163459.01
2025-02-20 14:00:00+00:00,174.13,176.65,172.23,172.53,324378.07
2025-02-20 15:00:00+00:00,172.54,173.42,171.21,171.61,149185.648
2025-02-20 16:00:00+00:00,171.62,173.41,171.22,171.86,141001.538
2025-02-20 17:00:00+00:00,171.86,173.46,171.67,173.38,72921.895
2025-02-20 18:00:00+00:00,173.38,175.11,173.33,174.29,98530.028
2025-02-20 19:00:00+00:00,174.3,175.46,174.02,174.98,87954.631
2025-02-20 20:00:00+00:00,174.97,175.96,174.31,174.6,90345.209
2025-02-20 21:00:00+00:00,174.6,174.75,173.22,173.32,153185.691
2025-02-20 22:00:00+00:00,173.32,174.33,173.17,174.06,64559.707
2025-02-20 23:00:00+00:00,174.05,176.54,174.02,176.0,88788.487
2025-02-21 00:00:00+00:00,176.0,176.47,174.07,174.36,110676.311
2025-02-21 01:00:00+00:00,174.35,174.73,173.27,174.28,71318.218
2025-02-21 02:00:00+00:00,174.27,174.85,173.0,173.34,82245.239
2025-02-21 03:00:00+00:00,173.34,174.5,173.11,173.28,64791.132
2025-02-21 04:00:00+00:00,173.27,175.08,173.27,174.02,131864.659
2025-02-21 05:00:00+00:00,174.03,175.56,173.86,175.1,117982.191
2025-02-21 06:00:00+00:00,175.1,176.48,174.83,175.99,112521.865
2025-02-21 07:00:00+00:00,175.98,176.8,175.35,175.86,87324.574
2025-02-21 08:00:00+00:00,175.86,177.55,175.83,176.41,118587.551
2025-02-21 09:00:00+00:00,176.4,180.28,176.28,177.54,312851.477
2025-02-21 10:00:00+00:00,177.53,180.07,177.05,179.46,141156.196
2025-02-21 11:00:00+00:00,179.46,179.52,177.05,177.21,106983.219
2025-02-21 12:00:00+00:00,177.2,178.44,176.68,178.21,105780.261
2025-02-21 13:00:00+00:00,178.21,180.52,177.71,180.02,199203.455
2025-02-21 14:00:00+00:00,180.02,180.07,176.3,177.7,240997.435
2025-02-21 15:00:00+00:00,177.69,178.63,170.56,173.17,543059.836
2025-02-21 16:00:00+00:00,173.16,175.66,172.61,174.69,330222.059
2025-02-21 17:00:00+00:00,174.7,175.46,170.64,171.7,314343.863
2025-02-21 18:00:00+00:00,171.69,172.36,170.82,171.61,157907.495
2025-02-21 19:00:00+00:00,171.61,171.61,168.18,168.42,306741.059
2025-02-21 20:00:00+00:00,168.42,169.95,168.33,169.37,153623.666
2025-02-21 21:00:00+00:00,169.38,169.97,167.15,168.12,110212.929
2025-02-21 22:00:00+00:00,168.13,169.17,167.39,168.81,91940.285
2025-02-21 23:00:00+00:00,168.8,169.4,167.93,168.94,91347.882
2025-02-22 00:00:00+00:00,168.94,171.04,168.07,170.83,143899.52
2025-02-22 01:00:00+00:00,170.84,172.76,170.36,171.88,218402.212
2025-02-22 02:00:00+00:00,171.88,171.99,170.31,171.0,73644.888
2025-02-22 03:00:00+00:00,170.99,171.43,169.76,170.35,60953.918
2025-02-22 04:00:00+00:00,170.35,171.76,170.09,171.63,74161.337
2025-02-22 05:00:00+00:00,171.62,172.41,171.19,172.02,56449.306
2025-02-22 06:00:00+00:00,172.03,172.55,170.8,171.07,53642.134
2025-02-22 07:00:00+00:00,171.08,173.14,171.05,171.74,109374.058
2025-02-22 08:00:00+00:00,171.74,172.42,171.36,171.36,90893.12
2025-02-22 09:00:00+00:00,171.37,173.39,171.37,173.36,126562.63
2025-02-22 10:00:00+00:00,173.35,174.14,173.0,173.21,93559.68
2025-02-22 11:00:00+00:00,173.22,173.9,172.96,173.56,52865.551
2025-02-22 12:00:00+00:00,173.56,174.06,172.72,173.9,69692.535
2025-02-22 13:00:00+00:00,173.91,174.6,172.66,172.75,78670.883
2025-02-22 14:00:00+00:00,172.75,173.77,172.75,173.56,67484.021
2025-02-22 15:00:00+00:00,173.57,174.54,173.23,174.23,64334.135
2025-02-22 16:00:00+00:00,174.23,174.68,172.65,172.76,105479.462
2025-02-22 17:00:00+00:00,172.75,173.53,172.3,173.24,77504.376
2025-02-22 18:00:00+00:00,173.23,174.13,172.71,172.92,55653.844
2025-02-22 19:00:00+00:00,172.91,173.17,172.46,172.64,52639.544
2025-02-22 20:00:00+00:00,172.63,172.71,171.89,172.45,48348.418
2025-02-22 21:00:00+00:00,172.46,173.16,172.41,172.99,31637.536
2025-02-22 22:00:00+00:00,172.99,173.62,172.6,172.61,39286.417
2025-02-22 23:00:00+00:00,172.61,172.7,172.03,172.07,41673.932
2025-02-23 00:00:00+00:00,172.07,172.3,171.27,171.89,55856.271
2025-02-23 01:00:00+00:00,171.88,172.14,170.79,171.1,65652.776
2025-02-23 02:00:00+00:00,171.09,171.29,170.28,170.36,76448.494
2025-02-23 03:00:00+00:00,170.37,170.87,170.19,170.61,52448.257
2025-02-23 04:00:00+00:00,170.61,171.11,169.95,170.85,65548.916
2025-02-23 05:00:00+00:00,170.84,171.18,170.29,170.73,38390.034
2025-02-23 06:00:00+00:00,170.73,171.53,170.36,171.53,40198.55
2025-02-23 07:00:00+00:00,171.53,173.07,171.34,172.85,65219.417
2025-02-23 08:00:00+00:00,172.85,172.91,171.78,172.22,38373.608
2025-02-23 09:00:00+00:00,172.23,172.36,170.88,171.34,35627.538
2025-02-23 10:00:00+00:00,171.35,171.54,170.69,171.1,38331.515
2025-02-23 11:00:00+00:00,171.11,171.31,169.36,169.59,67088.844
2025-02-23 12:00:00+00:00,169.6,169.88,168.35,168.92,112826.457
2025-02-23 13:00:00+00:00,168.92,169.92,168.81,169.67,90376.581
2025-02-23 14:00:00+00:00,169.67,169.92,168.39,168.78,60174.31
2025-02-23 15:00:00+00:00,168.78,169.4,166.6,166.76,153926.095
2025-02-23 16:00:00+00:00,166.76,168.06,166.75,166.98,87471.472
2025-02-23 17:00:00+00:00,166.98,168.48,166.98,168.22,59362.701
2025-02-23 18:00:00+00:00,168.22,168.72,167.86,167.87,53277.831
2025-02-23 19:00:00+00:00,167.87,168.11,167.56,167.71,44760.645
2025-02-23 20:00:00+00:00,167.71,167.88,166.98,167.7,32019.613
2025-02-23 21:00:00+00:00,167.7,168.16,167.23,168.06,26047.263
2025-02-23 22:00:00+00:00,168.06,168.06,166.42,167.32,48264.271
2025-02-23 23:00:00+00:00,167.33,168.86,167.09,167.94,80619.3
2025-02-24 00:00:00+00:00,167.94,169.69,166.58,166.62,102139.078
2025-02-24 01:00:00+00:00,166.62,166.77,163.3,163.64,219385.537
2025-02-24 02:00:00+00:00,163.63,164.99,162.59,162.67,190712.773
2025-02-24 03:00:00+00:00,162.66,162.67,160.56,161.01,279937.952
2025-02-24 04:00:00+00:00,161.02,161.24,156.88,158.79,532951.797
2025-02-24 05:00:00+00:00,158.78,160.51,158.14,159.86,181425.934
2025-02-24 06:00:00+00:00,159.86,161.09,158.72,160.77,188898.872
2025-02-24 07:00:00+00:00,160.77,161.75,160.76,160.99,157080.279
2025-02-24 08:00:00+00:00,160.99,161.1,157.72,157.94,237461.077
2025-02-24 09:00:00+00:00,157.95,160.37,157.73,158.19,142072.954
