time,open,high,low,close,tick_volume,spread,real_volume
2025-02-20 00:00:00+00:00,1.25868,1.25868,1.25833,1.25847,961,5,0
2025-02-20 01:00:00+00:00,1.25826,1.25871,1.25742,1.25814,775,12,0
2025-02-20 02:00:00+00:00,1.25807,1.2586,1.25785,1.2582900000000001,1056,1,0
2025-02-20 03:00:00+00:00,1.2582900000000001,1.25932,1.25809,1.2591700000000001,1920,4,0
2025-02-20 04:00:00+00:00,1.2591700000000001,1.25941,1.25804,1.25831,2511,4,0
2025-02-20 05:00:00+00:00,1.2583,1.25949,1.25809,1.25938,2930,4,0
2025-02-20 06:00:00+00:00,1.2594,1.2594699999999999,1.25874,1.25923,1879,4,0
2025-02-20 07:00:00+00:00,1.2592400000000001,1.25946,1.25887,1.25937,1458,4,0
2025-02-20 08:00:00+00:00,1.25936,1.25995,1.25916,1.25939,1684,4,0
2025-02-20 09:00:00+00:00,1.25939,1.26018,1.25896,1.25899,2057,3,0
2025-02-20 10:00:00+00:00,1.259,1.26022,1.25888,1.2595,2680,2,0
2025-02-20 11:00:00+00:00,1.25949,1.2615,1.25948,1.2608,3258,2,0
2025-02-20 12:00:00+00:00,1.26081,1.26159,1.2603,1.26138,2295,2,0
2025-02-20 13:00:00+00:00,1.26138,1.26196,1.26096,1.26165,2368,2,0
2025-02-20 14:00:00+00:00,1.26167,1.26172,1.26,1.26085,2448,2,0
2025-02-20 15:00:00+00:00,1.26086,1.26174,1.25974,1.2599,3062,2,0
2025-02-20 16:00:00+00:00,1.25991,1.26231,1.2598500000000001,1.26128,3394,2,0
2025-02-20 17:00:00+00:00,1.26129,1.26237,1.26068,1.26132,3821,2,0
2025-02-20 18:00:00+00:00,1.26132,1.26438,1.26051,1.26402,4499,2,0
2025-02-20 19:00:00+00:00,1.26401,1.26489,1.2631700000000001,1.26421,3293,2,0
2025-02-20 20:00:00+00:00,1.26419,1.26602,1.26369,1.26521,2863,4,0
2025-02-20 21:00:00+00:00,1.26518,1.26635,1.26487,1.2661,2236,4,0
2025-02-20 22:00:00+00:00,1.26609,1.26707,1.2653400000000001,1.26693,2064,4,0
2025-02-20 23:00:00+00:00,1.26694,1.26709,1.26636,1.267,1497,4,0
2025-02-21 00:00:00+00:00,1.2669000000000001,1.26705,1.2666,1.26675,854,1,0
2025-02-21 01:00:00+00:00,1.26642,1.26676,1.26565,1.26654,829,28,0
2025-02-21 02:00:00+00:00,1.26653,1.26742,1.26642,1.26692,1412,4,0
2025-02-21 03:00:00+00:00,1.26691,1.267,1.26579,1.2659099999999999,1643,4,0
2025-02-21 04:00:00+00:00,1.2659099999999999,1.2662499999999999,1.26536,1.26559,2451,4,0
2025-02-21 05:00:00+00:00,1.2656,1.2674,1.26554,1.26726,2671,4,0
2025-02-21 06:00:00+00:00,1.26726,1.26733,1.26667,1.26697,1837,4,0
2025-02-21 07:00:00+00:00,1.26698,1.26703,1.26632,1.26642,1107,4,0
2025-02-21 08:00:00+00:00,1.2664,1.26653,1.2657,1.26599,1756,4,0
2025-02-21 09:00:00+00:00,1.2659799999999999,1.26648,1.26569,1.26605,2267,3,0
2025-02-21 10:00:00+00:00,1.26614,1.26787,1.26614,1.26695,2977,2,0
2025-02-21 11:00:00+00:00,1.26694,1.26711,1.26498,1.26597,3859,2,0
2025-02-21 12:00:00+00:00,1.26597,1.26634,1.26422,1.26499,2855,2,0
2025-02-21 13:00:00+00:00,1.26498,1.2656399999999999,1.26447,1.26471,2176,2,0
2025-02-21 14:00:00+00:00,1.26472,1.26553,1.26436,1.26452,1808,2,0
2025-02-21 15:00:00+00:00,1.26452,1.26479,1.26367,1.26396,1822,2,0
2025-02-21 16:00:00+00:00,1.26398,1.26518,1.26394,1.26455,2417,2,0
2025-02-21 17:00:00+00:00,1.26456,1.2668300000000001,1.26395,1.26566,3811,2,0
2025-02-21 18:00:00+00:00,1.26549,1.26603,1.26301,1.26384,4226,2,0
2025-02-21 19:00:00+00:00,1.26385,1.26485,1.26359,1.26441,2779,2,0
2025-02-21 20:00:00+00:00,1.2644,1.26495,1.26375,1.2645,2656,4,0
2025-02-21 21:00:00+00:00,1.26449,1.26454,1.26246,1.26341,3379,4,0
2025-02-21 22:00:00+00:00,1.26341,1.26386,1.26284,1.26316,2641,4,0
2025-02-21 23:00:00+00:00,1.26306,1.26365,1.26285,1.26301,2022,4,0
2025-02-22 00:00:00+00:00,1.26294,1.26329,1.2625899999999999,1.26329,1268,6,0
2025-02-24 01:00:00+00:00,1.26278,1.26459,1.26237,1.26399,712,40,0
2025-02-24 02:00:00+00:00,1.2643,1.26579,1.2638099999999999,1.26488,1722,4,0
2025-02-24 03:00:00+00:00,1.26488,1.26726,1.2644199999999999,1.26668,2488,4,0
2025-02-24 04:00:00+00:00,1.26667,1.26797,1.26611,1.26784,3424,4,0
2025-02-24 05:00:00+00:00,1.26783,1.26906,1.26773,1.26845,2779,4,0
2025-02-24 06:00:00+00:00,1.26845,1.2687599999999999,1.2677,1.2681200000000001,2129,4,0
2025-02-24 07:00:00+00:00,1.2681200000000001,1.26822,1.26732,1.26777,1444,4,0
2025-02-24 08:00:00+00:00,1.26775,1.26775,1.26707,1.26742,1962,4,0
2025-02-24 09:00:00+00:00,1.26741,1.26748,1.26574,1.26651,2164,3,0
2025-02-24 10:00:00+00:00,1.26651,1.26705,1.2638,1.26444,3531,2,0
2025-02-24 11:00:00+00:00,1.26453,1.2654,1.26295,1.26485,4044,2,0
2025-02-24 12:00:00+00:00,1.26483,1.26572,1.26255,1.26382,3221,2,0
2025-02-24 13:00:00+00:00,1.2638,1.26444,1.26264,1.26433,2763,2,0
2025-02-24 14:00:00+00:00,1.26432,1.26449,1.2634400000000001,1.26399,2273,2,0
2025-02-24 15:00:00+00:00,1.26399,1.26444,1.2631999999999999,1.2638,1952,2,0
2025-02-24 16:00:00+00:00,1.2638099999999999,1.26507,1.26349,1.26447,2576,2,0
